"Species","Ocean","EEZ","Average","Max"
"Chanos chanos","South Atlantic Ocean","American Samoa Exclusive Economic Zone",6.97915092582079,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Amsterdam Island & St. Paul Island Exclusive Economic Zone",8.01803523958497,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Australian Exclusive Economic Zone",7.24068473357265,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Bangladeshi Exclusive Economic Zone",8.0313940419362,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Bassas da India Exclusive Economic Zone",8.02509600309712,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Bruneian Exclusive Economic Zone",6.9307263139559,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Chagos Archipelago Exclusive Economic Zone",7.19622383784974,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Chilean Exclusive Economic Zone",6.29093917770391,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Chilean Exclusive Economic Zone (Easter Island)",7.92621140977556,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)",4.71407102540186,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Chinese Exclusive Economic Zone",7.60197153268143,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Clipperton Exclusive Economic Zone",8.2923610758136,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Cocos Islands Exclusive Economic Zone",4.98135956540507,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Colombian Exclusive Economic Zone",8.17610468974227,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Comoran Exclusive Economic Zone",7.00376243691653,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Cook Islands Exclusive Economic Zone",7.70221970895602,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Costa Rican Exclusive Economic Zone",8.11786825895754,8.2923610758136
"Chanos chanos","South Atlantic Ocean","East Timorian Exclusive Economic Zone",7.50756240804263,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Ecuadorian Exclusive Economic Zone",7.64134902914585,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Ecuadorian Exclusive Economic Zone (Galapagos)",7.50743561642916,8.2923610758136
"Chanos chanos","South Atlantic Ocean","El Salvador Exclusive Economic Zone",8.01302500580739,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Eritrean Exclusive Economic Zone",8.2923610758136,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Fijian Exclusive Economic Zone",7.38616145792004,8.2923610758136
"Chanos chanos","South Atlantic Ocean","French Polynesian Exclusive Economic Zone",7.68869588667036,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Guam Exclusive Economic Zone",6.95557102428087,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Guatemalan Exclusive Economic Zone",7.91642306050585,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Honduran Exclusive Economic Zone",8.2923610758136,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Ile Europa Exclusive Economic Zone",8.02509600309712,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Indian Exclusive Economic Zone",7.4198280450197,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",6.93761822526319,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Indonesian Exclusive Economic Zone",7.77379954532147,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Iranian Exclusive Economic Zone",8.27165484476054,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Japanese Exclusive Economic Zone",6.87374575379456,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Jarvis Island Exclusive Economic Zone",8.28315830645668,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Johnston Atoll Exclusive Economic Zone",5.15032010044496,7.13428883814212
"Chanos chanos","South Atlantic Ocean","Joint regime area Australia / Papua New Guinea",7.33170194567999,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Joint regime area Japan / Korea",5.33314695097474,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Juan de Nova Exclusive Economic Zone",8.27855692177823,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Kenyan Exclusive Economic Zone",6.98468888061226,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Kiribati Exclusive Economic Zone (Gilbert Islands)",7.7542990361011,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Kiribati Exclusive Economic Zone (Line Islands)",8.28447298779338,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Kiribati Exclusive Economic Zone (Phoenix Islands)",8.2923610758136,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Madagascan Exclusive Economic Zone",7.49908443736225,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Malaysian Exclusive Economic Zone",6.7763749281768,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Maldives Exclusive Economic Zone",7.73676684668985,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Marshall Islands Exclusive Economic Zone",7.79661144003119,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Mauritian Exclusive Economic Zone",7.34755903139016,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Mexican Exclusive Economic Zone",7.67685182137387,8.2923610758136
"Chanos chanos","South Atlantic Ocean","Micronesian Exclusive Economic Zone",7.79301438082541,8.2923610758136
