"","EEZ","seaBasn","country","Average","Max"
"258","Tokelau Exclusive Economic Zone","South Pacific Ocean","New Zealand",7.87041680789961,8.2923610758136
"259","Tongan Exclusive Economic Zone","South Pacific Ocean","Tonga",5.78649893879021,8.2923610758136
"265","Tuvaluan Exclusive Economic Zone","South Pacific Ocean","Tuvalu",7.68644325790871,8.2923610758136
"266","United Arab Emirates Exclusive Economic Zone","Gulf of Oman","United Arab Emirates",8.25094861370749,8.2923610758136
"268","United States Exclusive Economic Zone","Bay of Fundy","United States",7.0386061305276,8.2923610758136
"270","United States Exclusive Economic Zone (Hawaii)","North Pacific Ocean","United States",7.45218955356314,8.2923610758136
"272","Vanuatu Exclusive Economic Zone","Coral Sea","Vanuatu",7.95997995042329,8.2923610758136
"274","Vietnamese Exclusive Economic Zone","Gulf of Thailand","Vietnam",6.6517522876702,8.2923610758136
"277","Wallis and Futuna Exclusive Economic Zone","South Pacific Ocean","France",7.61656596523585,8.2923610758136
"278","Yemeni Exclusive Economic Zone","Arabian Sea","Yemen",7.74089504078655,8.2923610758136
