"Species","Ocean","EEZ","Average","Max"
"Chanos chanos","South Atlantic Ocean","Oecussi Ambeno Exclusive Economic Zone",0.417186664483579,0.478617722841065
"Chanos chanos","South Atlantic Ocean","Omani Exclusive Economic Zone",1.76981607001829,2.23750106318884
"Chanos chanos","South Atlantic Ocean","Overlapping claim Glorioso Islands: France / Madagascar",0.504825541841569,1.00327266577175
"Chanos chanos","South Atlantic Ocean","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0.0760665580472236,0.0809349663127812
"Chanos chanos","South Atlantic Ocean","Overlapping claim Mayotte: France / Comoros",0.319681767641437,0.407021244593066
"Chanos chanos","South Atlantic Ocean","Overlapping claim Senkaku Islands: Japan / China / Taiwan",1.25612876341938,2.7718380462912
"Chanos chanos","South Atlantic Ocean","Overlapping claim South China Sea",1.51888936239393,4.31028782256871
"Chanos chanos","South Atlantic Ocean","Overlapping claim: Kenya / Somalia",0.597584619986996,0.649019559372279
"Chanos chanos","South Atlantic Ocean","Pakistani Exclusive Economic Zone",3.42091194088352,4.19684721554844
"Chanos chanos","South Atlantic Ocean","Palau Exclusive Economic Zone",0.278667905294534,0.564614032741852
"Chanos chanos","South Atlantic Ocean","Palmyra Atoll Exclusive Economic Zone",1.65397162402423,4.08446766174433
"Chanos chanos","South Atlantic Ocean","Panamanian Exclusive Economic Zone",3.45412392862862,5.74271842884711
"Chanos chanos","South Atlantic Ocean","Papua New Guinean Exclusive Economic Zone",0.552110616205072,5.02238494024219
"Chanos chanos","South Atlantic Ocean","Peruvian Exclusive Economic Zone",1.83177093081484,2.1795700521944
"Chanos chanos","South Atlantic Ocean","Philippines Exclusive Economic Zone",1.80280294068893,5.93858869813585
"Chanos chanos","South Atlantic Ocean","Pitcairn Islands Exclusive Economic Zone",0.314926291642254,0.745995418057094
"Chanos chanos","South Atlantic Ocean","Réunion Exclusive Economic Zone",0.762295917572219,1.13866583637038
"Chanos chanos","South Atlantic Ocean","Samoan Exclusive Economic Zone",0.0552817070180889,0.14103847529564
"Chanos chanos","South Atlantic Ocean","Saudi Arabian Exclusive Economic Zone",0.744926286298865,0.758025315397966
"Chanos chanos","South Atlantic Ocean","Seychellois Exclusive Economic Zone",0.420834783139995,1.08076351119205
"Chanos chanos","South Atlantic Ocean","Solomon Islands Exclusive Economic Zone",0.358893887889898,1.68960966114421
"Chanos chanos","South Atlantic Ocean","Somali Exclusive Economic Zone",0.537182079303756,1.76645005583553
"Chanos chanos","South Atlantic Ocean","South African Exclusive Economic Zone",0.799031677069606,1.32889368800022
"Chanos chanos","South Atlantic Ocean","South Korean Exclusive Economic Zone",0.8636366167951,3.99065871588867
"Chanos chanos","South Atlantic Ocean","Sri Lankan Exclusive Economic Zone",1.57659217516244,2.92666379721592
"Chanos chanos","South Atlantic Ocean","Taiwanese Exclusive Economic Zone",1.31593592587878,3.83689641641529
"Chanos chanos","South Atlantic Ocean","Tanzanian Exclusive Economic Zone",0.526239190051823,1.10319846570562
"Chanos chanos","South Atlantic Ocean","Thailand Exclusive Economic Zone",1.70809549442353,5.81181608463546
"Chanos chanos","South Atlantic Ocean","Tokelau Exclusive Economic Zone",0.144573028401531,0.179173274145741
"Chanos chanos","South Atlantic Ocean","Tongan Exclusive Economic Zone",0.673703468572207,2.2028811404108
"Chanos chanos","South Atlantic Ocean","Tuvaluan Exclusive Economic Zone",1.06276792224576,8.07657100413013
"Chanos chanos","South Atlantic Ocean","United Arab Emirates Exclusive Economic Zone",2.10091719342002,2.19837759874004
"Chanos chanos","South Atlantic Ocean","United States Exclusive Economic Zone",1.34147670194473,7.17941435439257
"Chanos chanos","South Atlantic Ocean","United States Exclusive Economic Zone (Hawaii)",1.23321197237513,7.17941435439257
"Chanos chanos","South Atlantic Ocean","Vanuatu Exclusive Economic Zone",0.218813929370753,0.907281956370574
"Chanos chanos","South Atlantic Ocean","Vietnamese Exclusive Economic Zone",1.27709249025808,3.7978084965158
"Chanos chanos","South Atlantic Ocean","Wallis and Futuna Exclusive Economic Zone",0.764507138702762,8.20953615160139
"Chanos chanos","South Atlantic Ocean","Yemeni Exclusive Economic Zone",0.57081735123211,1.76645005583553
"Chanos chanos","South Pacific Ocean","American Samoa Exclusive Economic Zone",0.0522074278530743,0.123598071672531
